name,block,family,shape,dtype,params,rows,cols
model.layers.30.mlp.up_proj.weight,30,up_proj,"[9728, 2560]",BF16,24903680,9728,2560
model.layers.30.post_attention_layernorm.weight,30,norm,[2560],BF16,2560,2560,1
model.layers.30.self_attn.k_norm.weight,30,norm,[128],BF16,128,128,1
model.layers.30.self_attn.k_proj.weight,30,k_proj,"[1024, 2560]",BF16,2621440,1024,2560
model.layers.30.self_attn.o_proj.weight,30,o_proj,"[2560, 4096]",BF16,10485760,2560,4096
model.layers.30.self_attn.q_norm.weight,30,norm,[128],BF16,128,128,1
model.layers.30.self_attn.q_proj.weight,30,q_proj,"[4096, 2560]",BF16,10485760,4096,2560
model.layers.30.self_attn.v_proj.weight,30,v_proj,"[1024, 2560]",BF16,2621440,1024,2560
model.layers.31.input_layernorm.weight,31,norm,[2560],BF16,2560,2560,1
model.layers.31.mlp.down_proj.weight,31,down_proj,"[2560, 9728]",BF16,24903680,2560,9728
model.layers.31.mlp.gate_proj.weight,31,gate_proj,"[9728, 2560]",BF16,24903680,9728,2560
model.layers.31.mlp.up_proj.weight,31,up_proj,"[9728, 2560]",BF16,24903680,9728,2560
model.layers.31.post_attention_layernorm.weight,31,norm,[2560],BF16,2560,2560,1
model.layers.31.self_attn.k_norm.weight,31,norm,[128],BF16,128,128,1
model.layers.31.self_attn.k_proj.weight,31,k_proj,"[1024, 2560]",BF16,2621440,1024,2560
model.layers.31.self_attn.o_proj.weight,31,o_proj,"[2560, 4096]",BF16,10485760,2560,4096
model.layers.31.self_attn.q_norm.weight,31,norm,[128],BF16,128,128,1
model.layers.31.self_attn.q_proj.weight,31,q_proj,"[4096, 2560]",BF16,10485760,4096,2560
model.layers.31.self_attn.v_proj.weight,31,v_proj,"[1024, 2560]",BF16,2621440,1024,2560
model.layers.32.input_layernorm.weight,32,norm,[2560],BF16,2560,2560,1
model.layers.32.mlp.down_proj.weight,32,down_proj,"[2560, 9728]",BF16,24903680,2560,9728
model.layers.32.mlp.gate_proj.weight,32,gate_proj,"[9728, 2560]",BF16,24903680,9728,2560
model.layers.32.mlp.up_proj.weight,32,up_proj,"[9728, 2560]",BF16,24903680,9728,2560
model.layers.32.post_attention_layernorm.weight,32,norm,[2560],BF16,2560,2560,1
model.layers.32.self_attn.k_norm.weight,32,norm,[128],BF16,128,128,1
model.layers.32.self_attn.k_proj.weight,32,k_proj,"[1024, 2560]",BF16,2621440,1024,2560
model.layers.32.self_attn.o_proj.weight,32,o_proj,"[2560, 4096]",BF16,10485760,2560,4096
model.layers.32.self_attn.q_norm.weight,32,norm,[128],BF16,128,128,1
model.layers.32.self_attn.q_proj.weight,32,q_proj,"[4096, 2560]",BF16,10485760,4096,2560
model.layers.32.self_attn.v_proj.weight,32,v_proj,"[1024, 2560]",BF16,2621440,1024,2560
model.layers.33.input_layernorm.weight,33,norm,[2560],BF16,2560,2560,1
model.layers.33.mlp.down_proj.weight,33,down_proj,"[2560, 9728]",BF16,24903680,2560,9728
model.layers.33.mlp.gate_proj.weight,33,gate_proj,"[9728, 2560]",BF16,24903680,9728,2560
model.layers.33.mlp.up_proj.weight,33,up_proj,"[9728, 2560]",BF16,24903680,9728,2560
model.layers.33.post_attention_layernorm.weight,33,norm,[2560],BF16,2560,2560,1
model.layers.33.self_attn.k_norm.weight,33,norm,[128],BF16,128,128,1
model.layers.33.self_attn.k_proj.weight,33,k_proj,"[1024, 2560]",BF16,2621440,1024,2560
